(0,), 0.6681318681318681
(249, '0', '1'), 0.0
(249, '1', '0'), 0.1111111111111111
(249, '1', '1'), 0.0
(25, '0'), 0.052770448548812667
(25, '1'), 0.13157894736842105
(250, '0', '0'), 0.013574660633484163
(250, '0', '1'), 0.0
(250, '1', '0'), 0.25
(250, '1', '1'), 0.0
(251, '0', '0'), 0.01126126126126126
(251, '0', '1'), 0.0
(251, '1', '0'), 0.2857142857142857
(252, '0', '0'), 0.014084507042253521
(252, '0', '1'), 0.045454545454545456
(252, '1', '0'), 0.14285714285714285
(253, '0', '0'), 0.013513513513513514
(253, '0', '1'), 0.0
(253, '1', '0'), 0.0
(253, '1', '1'), 0.0
(254, '0', '0'), 0.011235955056179775
(254, '0', '1'), 0.0
(254, '1', '0'), 0.16666666666666666
(255, '0', '0'), 0.013761467889908258
(255, '0', '1'), 0.0
(255, '1', '0'), 0.3333333333333333
(26, '0'), 0.0611764705882353
(26, '1'), 0.13333333333333333
(27, '0'), 0.03764705882352941
(27, '1'), 0.16666666666666666
(28, '0'), 0.15207373271889402
(28, '1'), 0.2857142857142857
(29, '0'), 0.057441253263707574
(29, '1'), 0.125
(3, '0'), 0.11023622047244094
(3, '1'), 0.21621621621621623
(30, '0'), 0.04009433962264151
(30, '1'), 0.1935483870967742
(31, '0'), 0.041666666666666664
(31, '1'), 0.43478260869565216
(32, '0'), 0.10596026490066225
(32, '1'), 0.07894736842105263
(33, '0', '0'), 0.08
(33, '0', '1'), 0.05
(33, '1', '0'), 0.09090909090909091
(33, '1', '1'), 0.0
(34, '0', '0'), 0.08169014084507042
(34, '0', '1'), 0.12307692307692308
(34, '1', '0'), 0.11538461538461539
(34, '1', '1'), 0.3333333333333333
(35, '0', '0'), 0.0443213296398892
(35, '0', '1'), 0.09803921568627451
(35, '1', '0'), 0.05555555555555555
(35, '1', '1'), 0.0
(36, '0', '0'), 0.13190184049079753
(36, '0', '1'), 0.14150943396226415
(36, '1', '0'), 0.13333333333333333
(36, '1', '1'), 0.0
(37, '0', '0'), 0.0784313725490196
(37, '0', '1'), 0.13157894736842105
